key|title|content|type|sort|created_at|updated_at
site_title|Título del Sitio|Gopri - Espacios Funcionales|text|1|2014-04-01 00:00:00|2014-04-01 00:00:00
site_description|Descripción del Sitio (Meta info)||text|2|2014-04-02 00:00:00|2014-04-02 00:00:00
home_content_1|Contenido Home 1|"Gopri desde 1975 se caracteriza por la experiencia en la fabricación,
                comercialización y distribución de muebles para oficina, comercio,
                sistemas de exhibición y sistemas de almacenaje.
                
                Somos fabricantes centrados en el diseño de espacios funcionales que impactan
                positivamente el flujo de trabajo incrementando la productividad y mejorando la logística,
                aspectos que se pueden ver en la satisfacción del cliente y por consecuencia más ventas."|text|3|2014-04-02 00:00:00|2014-04-02 00:00:00
home_content_2|Contenido Home 2|Creamos ambientes agradables y funcionales, que refuercen su imagen con productos de alta calidad, diseño y precio justo.|text|4|2014-04-02 00:00:00|2014-04-02 00:00:00
